GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Example,ucp.partido,Entrada,2,23,0,0,1,6,1,2,1,2
Example,ucp.partido,ArbitroBase,10,0,0,0,4,0,3,0,3,0
Example,ucp.partido,AsistenteDeVideo,3,0,0,0,1,0,1,0,1,0
Example,ucp.partido,IntegranteDelVar,10,0,0,0,4,0,3,0,3,0
Example,ucp.partido,Jugador,7,38,0,0,3,15,2,8,2,8
Example,ucp.partido,Arbitro,3,0,0,0,1,0,1,0,1,0
Example,ucp.partido,Equipo,0,200,0,16,0,53,0,24,0,16
Example,ucp.partido,Var,9,46,0,0,4,13,3,7,3,7
Example,ucp.partido,Estadio,0,49,0,0,0,17,0,9,0,9
Example,ucp.partido,EntradaVip,0,25,0,0,0,7,0,3,0,3
Example,ucp.partido,TarjetaBase,16,23,0,0,3,10,1,5,1,5
Example,ucp.partido,Partido,6,112,0,0,2,34,1,16,1,16
Example,ucp.partido,TarjetaAmarilla,0,5,0,0,0,2,0,1,0,1
Example,ucp.partido,Torneo,40,46,4,0,10,15,7,8,5,8
Example,ucp.partido,AVAR,3,0,0,0,1,0,1,0,1,0
Example,ucp.partido,TarjetaRoja,0,5,0,0,0,2,0,1,0,1
Example,ucp.partido,PantallaLed,0,6,0,0,0,2,0,2,0,2
Example,ucp.partido,EntradaBase,6,27,0,0,2,12,2,5,2,5
